k,method,scenario,selected_days,pct_days_selected,pct_dr_captured,targeting_efficiency
4,Load-based,A: Top 1 cluster,424,0.2379349046015712,0.3228338478186861,1.3568158415398557
4,Load-based,B: Top 2 clusters,699,0.3922558922558922,0.5318082864239668,1.3557687645314864
4,Load-based,C: Top 30% days,699,0.3922558922558922,0.5318082864239668,1.3557687645314864
4,Load-based,D: Top 50% days,1242,0.696969696969697,0.9007997431474716,1.2924518053855025
4,Flexibility-aware,A: Top 1 cluster,379,0.212682379349046,0.865782959246252,4.070778979886072
4,Flexibility-aware,B: Top 2 clusters,703,0.3945005611672278,0.9273938132415532,2.3508048011329272
4,Flexibility-aware,C: Top 30% days,703,0.3945005611672278,0.9273938132415532,2.3508048011329272
4,Flexibility-aware,D: Top 50% days,1092,0.6127946127946128,0.9754580797266232,1.5918189542791599
5,Load-based,A: Top 1 cluster,384,0.2154882154882154,0.5542054119444929,2.5718594898049134
5,Load-based,B: Top 2 clusters,843,0.4730639730639731,0.8183852472420019,1.7299673909670787
5,Load-based,C: Top 30% days,843,0.4730639730639731,0.8183852472420019,1.7299673909670787
5,Load-based,D: Top 50% days,1144,0.6419753086419753,0.9115403950919222,1.4198994615854943
5,Flexibility-aware,A: Top 1 cluster,332,0.186307519640853,0.803534011035005,4.312944601398732
5,Flexibility-aware,B: Top 2 clusters,450,0.2525252525252525,0.9226755196361808,3.6537950577592766
5,Flexibility-aware,C: Top 30% days,834,0.468013468013468,0.9683662448740498,2.0690990987596605
5,Flexibility-aware,D: Top 50% days,1526,0.856341189674523,0.9943738143715224,1.161188818617335
6,Load-based,A: Top 1 cluster,328,0.1840628507295174,0.3436685877768237,1.8671262909094506
6,Load-based,B: Top 2 clusters,657,0.3686868686868687,0.5445439431092233,1.4769822018578933
6,Load-based,C: Top 30% days,657,0.3686868686868687,0.5445439431092233,1.4769822018578933
6,Load-based,D: Top 50% days,944,0.5297418630751964,0.7176315766191241,1.3546816414568634
6,Flexibility-aware,A: Top 1 cluster,323,0.1812570145903479,0.8014671683132704,4.4217166994868355
6,Flexibility-aware,B: Top 2 clusters,442,0.2480359147025813,0.9211063486855172,3.7136007089538285
6,Flexibility-aware,C: Top 30% days,627,0.3518518518518518,0.9456032395073596,2.6875039438630224
6,Flexibility-aware,D: Top 50% days,1545,0.867003367003367,0.993710335600325,1.1461435715467825
7,Load-based,A: Top 1 cluster,263,0.1475869809203142,0.2512880704554559,1.702643884226702
7,Load-based,B: Top 2 clusters,533,0.2991021324354658,0.4942864336790207,1.65256740115575
7,Load-based,C: Top 30% days,819,0.4595959595959596,0.6835408315133745,1.48726466636976
7,Load-based,D: Top 50% days,1073,0.6021324354657688,0.8397002131081787,1.3945440631489043
7,Flexibility-aware,A: Top 1 cluster,318,0.1784511784511784,0.7957229713523407,4.459051367766892
7,Flexibility-aware,B: Top 2 clusters,437,0.2452300785634119,0.9153621517245872,3.7326667148128476
7,Flexibility-aware,C: Top 30% days,693,0.3888888888888889,0.9494457271678948,2.441431869860301
7,Flexibility-aware,D: Top 50% days,1547,0.8681257014590348,0.9933360775884764,1.144230698295194
8,Load-based,A: Top 1 cluster,276,0.1548821548821548,0.474953165085015,3.0665454354402075
8,Load-based,B: Top 2 clusters,464,0.260381593714927,0.6047547258025942,2.322570951250481
8,Load-based,C: Top 30% days,681,0.3821548821548821,0.7210111039418339,1.886698659653962
8,Load-based,D: Top 50% days,922,0.5173961840628507,0.8383474244961597,1.6203200764123176
8,Flexibility-aware,A: Top 1 cluster,319,0.1790123456790123,0.7958311451297322,4.445677431414367
8,Flexibility-aware,B: Top 2 clusters,430,0.2413019079685746,0.910423217058914,3.772963192555779
8,Flexibility-aware,C: Top 30% days,625,0.3507295173961841,0.936204956194908,2.6693075711029213
8,Flexibility-aware,D: Top 50% days,1038,0.5824915824915825,0.9811385163726504,1.6843823084547813
9,Load-based,A: Top 1 cluster,248,0.1391694725028058,0.4070147225005034,2.924597723773779
9,Load-based,B: Top 2 clusters,379,0.212682379349046,0.525072831057711,2.4688120974797916
9,Load-based,C: Top 30% days,698,0.3916947250280583,0.7147637251429331,1.8247979343906977
9,Load-based,D: Top 50% days,934,0.5241301907968574,0.8308808404274621,1.585256592764173
9,Flexibility-aware,A: Top 1 cluster,254,0.1425364758698092,0.6745587988836297,4.732534565396174
9,Flexibility-aware,B: Top 2 clusters,351,0.1969696969696969,0.8304425327821987,4.216092858740395
9,Flexibility-aware,C: Top 30% days,641,0.3597081930415263,0.948023568215556,2.6355350991577553
9,Flexibility-aware,D: Top 50% days,982,0.5510662177328844,0.9793378875212388,1.777169160450965
10,Load-based,A: Top 1 cluster,234,0.1313131313131313,0.3979086768440297,3.030227615966073
10,Load-based,B: Top 2 clusters,367,0.2059483726150393,0.5503061136860252,2.672058568361027
10,Load-based,C: Top 30% days,723,0.4057239057239057,0.7509931828292804,1.8509956456456123
10,Load-based,D: Top 50% days,911,0.5112233445566778,0.8368362053738142,1.6369287793371428
10,Flexibility-aware,A: Top 1 cluster,133,0.0746352413019079,0.430427920853655,5.767086879407623
10,Flexibility-aware,B: Top 2 clusters,277,0.1554433221099887,0.6996501734633572,4.500998588850914
10,Flexibility-aware,C: Top 30% days,655,0.3675645342312009,0.9575137459373524,2.6050221301684915
10,Flexibility-aware,D: Top 50% days,1035,0.5808080808080808,0.9848041729713696,1.6955758804202712
11,Load-based,A: Top 1 cluster,172,0.0965207631874298,0.3180099657906203,3.2947311572028237
11,Load-based,B: Top 2 clusters,314,0.1762065095398428,0.5406775214032419,3.068431029110119
11,Load-based,C: Top 30% days,757,0.4248035914702581,0.7946420154771273,1.8706103983886935
11,Load-based,D: Top 50% days,931,0.5224466891133558,0.8622798946329819,1.6504648466551812
11,Flexibility-aware,A: Top 1 cluster,128,0.0718294051627385,0.4224270655609666,5.880976803356582
11,Flexibility-aware,B: Top 2 clusters,273,0.1531986531986532,0.7030110321292288,4.588885198733648
11,Flexibility-aware,C: Top 30% days,655,0.3675645342312009,0.9575137459373524,2.6050221301684915
11,Flexibility-aware,D: Top 50% days,1029,0.5774410774410774,0.9846967278126632,1.7052765490400057
12,Load-based,A: Top 1 cluster,167,0.0937149270482603,0.2870446392417362,3.0629553720285885
12,Load-based,B: Top 2 clusters,302,0.1694725028058361,0.4785151100794873,2.8235560468928695
12,Load-based,C: Top 30% days,704,0.3950617283950617,0.7327372090004136,1.8547410602822971
12,Load-based,D: Top 50% days,1016,0.5701459034792368,0.864680877790964,1.516595791558561
